title,poster,director,writers,cast,genre,runtime,description
Charlie's Angels (2019) ,"https://m.media-amazon.com/images/M/MV5BN2VkMjQwZWMtMzc1NC00ZjJiLWJlNTMtNmRjOTE2ZTJmYzUwXkEyXkFqcGdeQXVyMjUxMTY3ODM@._V1_UY268_CR7,0,182,268_AL_.jpg",['Elizabeth Banks'],"['Elizabeth Banks', 'Evan Spiliotopoulos']","[['Kristen Stewart', 'https://m.media-amazon.com/images/M/MV5BMTQxMjUyOTY0Ml5BMl5BanBnXkFtZTcwNjI2MjA2Mw@@._V1_UY317_CR7,0,214,317_AL_.jpg'], ['Naomi Scott', 'https://m.media-amazon.com/images/M/MV5BMzQ5YWRlYjktZDM5My00N2YwLTg4N2ItYmY2ZDQ4ZGYwMzBkXkEyXkFqcGdeQXVyNDU1NjUxOTc@._V1_UY317_CR27,0,214,317_AL_.jpg'], ['Ella Balinska', 'https://m.media-amazon.com/images/M/MV5BZjQwYzhiN2EtMzgyZi00NjM2LTgzODctZWRiMzAxYzRiYzBlXkEyXkFqcGdeQXVyNjc1ODI5MzY@._V1_UY317_CR20,0,214,317_AL_.jpg']]","['Action', 'Adventure', 'Comedy']",1h 58min,"When a young systems engineer blows the whistle on a dangerous technology, Charlie's Angels are called into action, putting their lives on the line to protect us all."
Portrait de la jeune fille en feu (2019) ,"https://m.media-amazon.com/images/M/MV5BNjgwNjkwOWYtYmM3My00NzI1LTk5OGItYWY0OTMyZTY4OTg2XkEyXkFqcGdeQXVyODk4OTc3MTY@._V1_UY268_CR0,0,182,268_AL_.jpg",['Céline Sciamma'],['Céline Sciamma'],"[['Noémie Merlant', 'https://m.media-amazon.com/images/M/MV5BMTEzNDg5MzE0ODdeQTJeQWpwZ15BbWU4MDk5OTI3NjQx._V1_UX214_CR0,0,214,317_AL_.jpg'], ['Adèle Haenel', 'https://m.media-amazon.com/images/M/MV5BMjE5NDU2OTc1OV5BMl5BanBnXkFtZTcwNjE3MDAzNQ@@._V1_UY317_CR6,0,214,317_AL_.jpg'], ['Luàna Bajrami', 'https://m.media-amazon.com/images/M/MV5BY2U5YTNmZWEtYzdlNy00ZTg4LWE5Y2QtMWQxYzhlMmMzMzRiXkEyXkFqcGdeQXVyMDc2NTEzMw@@._V1_UY317_CR268,0,214,317_AL_.jpg']]","['Drama', 'Romance']",2h 2min,"On an isolated island in Brittany at the end of the eighteenth century, a female painter is obliged to paint a wedding portrait of a young woman."
The Lighthouse (2019) ,"https://m.media-amazon.com/images/M/MV5BZmE0MGJhNmYtOWNjYi00Njc5LWE2YjEtMWMxZTVmODUwMmMxXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UX182_CR0,0,182,268_AL_.jpg",['Robert Eggers'],"['Robert Eggers', 'Max Eggers']","[['Robert Pattinson', 'https://m.media-amazon.com/images/M/MV5BNzk0MDQ5OTUxMV5BMl5BanBnXkFtZTcwMDM5ODk5Mg@@._V1_UY317_CR12,0,214,317_AL_.jpg'], ['Willem Dafoe', 'https://m.media-amazon.com/images/M/MV5BMTcyNjU2MTYyM15BMl5BanBnXkFtZTgwMjY5MDY4NDE@._V1_UY317_CR19,0,214,317_AL_.jpg'], ['Valeriia Karaman', 'https://m.media-amazon.com/images/M/MV5BMzY5YTQxMGMtMjUwYy00OTZkLWEzM2YtMzdiYTE4MmE5YjU5XkEyXkFqcGdeQXVyMTk4MDgwNA@@._V1_UY317_CR130,0,214,317_AL_.jpg']]","['Drama', 'Fantasy', 'Horror']",1h 49min,Two lighthouse keepers try to maintain their sanity whilst living on a remote and mysterious New England island in the 1890s.
Girl on the Third Floor (2019) ,"https://m.media-amazon.com/images/M/MV5BNmM3ZTJmMmYtYjhlOS00MzkzLWJkYWQtN2E0NjZlZGM3NDc5XkEyXkFqcGdeQXVyMjM4NTM5NDY@._V1_UX182_CR0,0,182,268_AL_.jpg",['Travis Stevens'],"['Trent Haaga', 'Paul Johnstone']","[['C.M. Punk', 'https://m.media-amazon.com/images/M/MV5BMTYwODQxNjI1M15BMl5BanBnXkFtZTcwOTgwMjgxOA@@._V1_UX214_CR0,0,214,317_AL_.jpg'], ['Trieste Kelly Dunn', 'https://m.media-amazon.com/images/M/MV5BZTAwMjA1MzItYmFiOS00YTg1LTkwYjAtYjg5M2Y5NTUyZTI5XkEyXkFqcGdeQXVyMTg4Mzc5MDE@._V1_UY317_CR30,0,214,317_AL_.jpg'], ['Sarah Brooks', 'https://m.media-amazon.com/images/M/MV5BZDRmMTcxNmEtNjAxMC00ZWEwLTgwZWEtZjFlNzgzNWIyMWFiXkEyXkFqcGdeQXVyNjgwNjk5NTI@._V1_UY317_CR51,0,214,317_AL_.jpg']]","['Drama', 'Horror', 'Mystery']",1h 33min,"Don Koch tries to renovate a rundown mansion with a sordid history for his growing family, only to learn that the house has other plans."
Baaghi 3 (2020) ,"https://m.media-amazon.com/images/M/MV5BZTAxNWE2MDItZWFlNS00MWM1LWI1ZjQtN2I5NDBhNWYzZjNhXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_UY268_CR2,0,182,268_AL_.jpg",['Ahmed Khan'],"['Tasha Bhambra', 'Sparsh Khetarpal']","[['Tiger Shroff', 'https://m.media-amazon.com/images/M/MV5BNjUyMTQyNDA2M15BMl5BanBnXkFtZTgwNDI4ODEzOTE@._V1_UX214_CR0,0,214,317_AL_.jpg'], ['Riteish Deshmukh', 'https://m.media-amazon.com/images/M/MV5BMTU3NDM3NDM3Ml5BMl5BanBnXkFtZTgwMzk4ODEzOTE@._V1_UY317_CR12,0,214,317_AL_.jpg'], ['Shraddha Kapoor', 'https://m.media-amazon.com/images/M/MV5BMTU1NzU2Nzk0MV5BMl5BanBnXkFtZTgwMzIzMzg4MjE@._V1_UX214_CR0,0,214,317_AL_.jpg']]","['Action', 'Thriller']",2h 23min,A man embarks on a bloody rampage to save his kidnapped brother.
A Quiet Place (2018) ,"https://m.media-amazon.com/images/M/MV5BMjI0MDMzNTQ0M15BMl5BanBnXkFtZTgwMTM5NzM3NDM@._V1_UX182_CR0,0,182,268_AL_.jpg",['John Krasinski'],"['Bryan Woods', 'Scott Beck']","[['Emily Blunt', 'https://m.media-amazon.com/images/M/MV5BMTUxNDY4MTMzM15BMl5BanBnXkFtZTcwMjg5NzM2Ng@@._V1_UX214_CR0,0,214,317_AL_.jpg'], ['John Krasinski', 'https://m.media-amazon.com/images/M/MV5BMTc3MzY3MjQ3OV5BMl5BanBnXkFtZTcwODI3NjQxMw@@._V1_UY317_CR6,0,214,317_AL_.jpg'], ['Millicent Simmonds', 'https://m.media-amazon.com/images/M/MV5BZDY5OTJiMWQtYjgxYi00NmFmLTg5ODMtMTU1Yzc4YWQ4NDVkXkEyXkFqcGdeQXVyMTE0MTg2MTMw._V1_UY317_CR21,0,214,317_AL_.jpg']]","['Drama', 'Horror', 'Sci-Fi']",1h 30min,"In a post-apocalyptic world, a family is forced to live in silence while hiding from monsters with ultra-sensitive hearing."
The Irishman (2019) ,"https://m.media-amazon.com/images/M/MV5BMGUyM2ZiZmUtMWY0OC00NTQ4LThkOGUtNjY2NjkzMDJiMWMwXkEyXkFqcGdeQXVyMzY0MTE3NzU@._V1_UY268_CR0,0,182,268_AL_.jpg",['Martin Scorsese'],"['Steven Zaillian', 'Charles Brandt']","[['Robert De Niro', 'https://m.media-amazon.com/images/M/MV5BMjAwNDU3MzcyOV5BMl5BanBnXkFtZTcwMjc0MTIxMw@@._V1_UY317_CR13,0,214,317_AL_.jpg'], ['Al Pacino', 'https://m.media-amazon.com/images/M/MV5BMTQzMzg1ODAyNl5BMl5BanBnXkFtZTYwMjAxODQ1._V1_UX214_CR0,0,214,317_AL_.jpg'], ['Joe Pesci', 'https://m.media-amazon.com/images/M/MV5BMzc3MTcxNDYxNV5BMl5BanBnXkFtZTcwOTI3NjE1Mw@@._V1_UX214_CR0,0,214,317_AL_.jpg']]","['Biography', 'Crime', 'Drama']",3h 29min,"An aging hitman recalls his time with the mob and the intersecting events with his friend, Jimmy Hoffa, through the 1950-70s."
Terminator: Dark Fate (2019) ,"https://m.media-amazon.com/images/M/MV5BOWExYzVlZDgtY2E1ZS00NTFjLWFmZWItZjI2NWY5ZWJiNTE4XkEyXkFqcGdeQXVyMTA3MTA4Mzgw._V1_UX182_CR0,0,182,268_AL_.jpg",['Tim Miller'],"['James Cameron', 'Charles H. Eglee']","[['Linda Hamilton', 'https://m.media-amazon.com/images/M/MV5BYzNiODYyZTgtOGNjYS00YWRhLWI2YWUtMjg1ODc1MmRkMTg5XkEyXkFqcGdeQXVyMTEwMTQ3ODI0._V1_UX214_CR0,0,214,317_AL_.jpg'], ['Arnold Schwarzenegger', 'https://m.media-amazon.com/images/M/MV5BMTI3MDc4NzUyMV5BMl5BanBnXkFtZTcwMTQyMTc5MQ@@._V1_UY317_CR19,0,214,317_AL_.jpg'], ['Mackenzie Davis', 'https://m.media-amazon.com/images/M/MV5BYzRkYmE0YWYtY2I3OC00OTAyLWE5YmItYzIwMGYyMTk1NDk3XkEyXkFqcGdeQXVyMjQwMDg0Ng@@._V1_UY317_CR51,0,214,317_AL_.jpg']]","['Action', 'Adventure', 'Sci-Fi']",2h 8min,"An augmented human and Sarah Connor must stop an advanced liquid Terminator from hunting down a young girl, whose fate is critical to the human race."
Bad Boys for Life (2020) ,"https://m.media-amazon.com/images/M/MV5BMWU0MGYwZWQtMzcwYS00NWVhLTlkZTAtYWVjOTYwZTBhZTBiXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UX182_CR0,0,182,268_AL_.jpg","['Adil El Arbi', 'Bilall Fallah']","['Chris Bremner', 'Peter Craig']","[['Will Smith', 'https://m.media-amazon.com/images/M/MV5BNTczMzk1MjU1MV5BMl5BanBnXkFtZTcwNDk2MzAyMg@@._V1_UY317_CR2,0,214,317_AL_.jpg'], ['Martin Lawrence', 'https://m.media-amazon.com/images/M/MV5BMTQ4NzIzMDAxMF5BMl5BanBnXkFtZTcwMDIyMTI2MQ@@._V1_UX214_CR0,0,214,317_AL_.jpg'], ['Vanessa Hudgens', 'https://m.media-amazon.com/images/M/MV5BMjA2NzA2NTMxNV5BMl5BanBnXkFtZTYwMjA1ODEy._V1_UY317_CR105,0,214,317_AL_.jpg']]","['Action', 'Comedy', 'Crime']",2h 4min,The Bad Boys Mike Lowrey and Marcus Burnett are back together for one last ride in the highly anticipated Bad Boys for Life.
Avengers: Endgame (2019) ,"https://m.media-amazon.com/images/M/MV5BMTc5MDE2ODcwNV5BMl5BanBnXkFtZTgwMzI2NzQ2NzM@._V1_UX182_CR0,0,182,268_AL_.jpg","['Anthony Russo', 'Joe Russo']","['Christopher Markus', 'Stephen McFeely']","[['Robert Downey Jr.', 'https://m.media-amazon.com/images/M/MV5BNzg1MTUyNDYxOF5BMl5BanBnXkFtZTgwNTQ4MTE2MjE@._V1_UX214_CR0,0,214,317_AL_.jpg'], ['Chris Evans', 'https://m.media-amazon.com/images/M/MV5BMTU2NTg1OTQzMF5BMl5BanBnXkFtZTcwNjIyMjkyMg@@._V1_UY317_CR6,0,214,317_AL_.jpg'], ['Mark Ruffalo', 'https://m.media-amazon.com/images/M/MV5BNDQyNzMzZTMtYjlkNS00YzFhLWFhMTctY2M4YmQ1NmRhODBkXkEyXkFqcGdeQXVyNjcyNzgyOTE@._V1_UY317_CR20,0,214,317_AL_.jpg']]","['Action', 'Adventure', 'Drama']",3h 1min,"After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe."
Star Wars: Episode IX - The Rise of Skywalker (2019) ,"https://m.media-amazon.com/images/M/MV5BMDljNTQ5ODItZmQwMy00M2ExLTljOTQtZTVjNGE2NTg0NGIxXkEyXkFqcGdeQXVyODkzNTgxMDg@._V1_UX182_CR0,0,182,268_AL_.jpg",['J.J. Abrams'],"['Chris Terrio', 'J.J. Abrams']","[['Carrie Fisher', 'https://m.media-amazon.com/images/M/MV5BMjM4ODU5MDY4MV5BMl5BanBnXkFtZTgwODY1MjQ5MDI@._V1_UX214_CR0,0,214,317_AL_.jpg'], ['Mark Hamill', 'https://m.media-amazon.com/images/M/MV5BOGY2MjI5MDQtOThmMC00ZGIwLWFmYjgtYWU4MzcxOGEwMGVkXkEyXkFqcGdeQXVyMzM4MjM0Nzg@._V1_UY317_CR175,0,214,317_AL_.jpg'], ['Adam Driver', 'https://m.media-amazon.com/images/M/MV5BOWViYjUzOWMtMzRkZi00MjNkLTk4M2ItMTVkMDg5MzE2ZDYyXkEyXkFqcGdeQXVyODQwNjM3NDA@._V1_UY317_CR44,0,214,317_AL_.jpg']]","['Action', 'Adventure', 'Fantasy']",2h 22min,"The surviving members of the resistance face the First Order once again, and the legendary conflict between the Jedi and the Sith reaches its peak bringing the Skywalker saga to its end."
Scoob! (2020) ,"https://m.media-amazon.com/images/M/MV5BYWY0OGIzNzgtNTRmZS00OTc1LWFmOWItYzM0NDc4OWQ3MGI3XkEyXkFqcGdeQXVyODk4OTc3MTY@._V1_UX182_CR0,0,182,268_AL_.jpg",['Tony Cervone'],"['Adam Sztykiel', 'Kelly Fremon Craig']","[['Mark Wahlberg', 'https://m.media-amazon.com/images/M/MV5BMTU0MTQ4OTMyMV5BMl5BanBnXkFtZTcwMTQxOTY1NA@@._V1_UY317_CR14,0,214,317_AL_.jpg'], ['Mckenna Grace', 'https://m.media-amazon.com/images/M/MV5BNzE0NzE1MDcyM15BMl5BanBnXkFtZTgwNzQyOTgyNzM@._V1_UX214_CR0,0,214,317_AL_.jpg'], ['Amanda Seyfried', 'https://m.media-amazon.com/images/M/MV5BMjUyODkwODUyMF5BMl5BanBnXkFtZTcwMzU3MjYxMw@@._V1_UY317_CR33,0,214,317_AL_.jpg']]","['Animation', 'Adventure', 'Comedy']",---,"Scooby and the gang face their most challenging mystery ever: a plot to unleash the ghost dog Cerberus upon the world. As they race to stop this dogpocalypse, the gang discovers that Scooby has an epic destiny greater than anyone imagined."
A Hidden Life (2019) ,"https://m.media-amazon.com/images/M/MV5BMDk4OTU0ZjctMjhhYS00YmVlLThlMDAtMjU4YzhlN2IyYzI3XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UX182_CR0,0,182,268_AL_.jpg",['Terrence Malick'],['Terrence Malick'],"[['August Diehl', 'https://m.media-amazon.com/images/M/MV5BMTcwMTY1MTMyN15BMl5BanBnXkFtZTYwMDM3NTEz._V1_UY317_CR3,0,214,317_AL_.jpg'], ['Valerie Pachner', 'https://m.media-amazon.com/images/M/MV5BMjMyODY3MDM5NF5BMl5BanBnXkFtZTgwMzk1MzA0NzM@._V1_UY317_CR5,0,214,317_AL_.jpg'], ['Maria Simon', 'https://m.media-amazon.com/images/M/MV5BYmZiYzMxNGEtYjAwZS00MGUyLThjZmYtOTExZGY5YWMxZDRmXkEyXkFqcGdeQXVyMTExMTc3NzU5._V1_UY317_CR7,0,214,317_AL_.jpg']]","['Biography', 'Drama', 'Romance']",2h 54min,"The Austrian Franz Jägerstätter, a conscientious objector, refuses to fight for the Nazis in World War II."
The Angry Birds Movie 2 (2019) ,"https://m.media-amazon.com/images/M/MV5BYzdkNGJhNzQtMjY1OC00MDI3LTk0ZDUtNzU0MGZiY2YwZGUxXkEyXkFqcGdeQXVyNzMxNjQxMTk@._V1_UX182_CR0,0,182,268_AL_.jpg","['Thurop Van Orman', 'John Rice']","['Peter Ackerman', 'Eyal Podell']","[['Jason Sudeikis', 'https://m.media-amazon.com/images/M/MV5BMjE3NTE4Nzg3Ml5BMl5BanBnXkFtZTgwODc5OTUxMTI@._V1_UX214_CR0,0,214,317_AL_.jpg'], ['Josh Gad', 'https://m.media-amazon.com/images/M/MV5BMzU0MDIxYzktNmZiZC00ODcwLWIyYWMtNzI3MjhlMTA2MzhiXkEyXkFqcGdeQXVyMjQwMDg0Ng@@._V1_UY317_CR29,0,214,317_AL_.jpg'], ['Leslie Jones', 'https://m.media-amazon.com/images/M/MV5BMTk4MTgyMDMzM15BMl5BanBnXkFtZTgwODE1NzczMzE@._V1_UY317_CR15,0,214,317_AL_.jpg']]","['Animation', 'Adventure', 'Comedy']",1h 37min,The flightless birds and scheming green pigs take their feud to the next level.
Color Out of Space (2019) ,"https://m.media-amazon.com/images/M/MV5BZjQ1YTM4M2UtMTQxNS00YjdjLTgwZGYtZTgzYmFiYjFkYzNlXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UX182_CR0,0,182,268_AL_.jpg",['Richard Stanley'],"['Scarlett Amaris', 'H.P. Lovecraft']","[['Nicolas Cage', 'https://m.media-amazon.com/images/M/MV5BMjUxMjE4MTQxMF5BMl5BanBnXkFtZTcwNzc2MDM1NA@@._V1_UY317_CR9,0,214,317_AL_.jpg'], ['Joely Richardson', 'https://m.media-amazon.com/images/M/MV5BODgwMjMwMzE2OV5BMl5BanBnXkFtZTcwOTAzMTgxMw@@._V1_UY317_CR8,0,214,317_AL_.jpg'], ['Madeleine Arthur', 'https://m.media-amazon.com/images/M/MV5BYzY5ZTMzYWQtZThhMi00MGI0LTk0MjYtY2I0NWNhNTVmM2UxXkEyXkFqcGdeQXVyMjk4NDkyOTA@._V1_UY317_CR92,0,214,317_AL_.jpg']]","['Horror', 'Sci-Fi']",1h 51min,A secluded farm is struck by a strange meteorite which has apocalyptic consequences for the family living there and possibly the world.
A Beautiful Day in the Neighborhood (2019) ,"https://m.media-amazon.com/images/M/MV5BZWE3ZDYwNmItOWM5ZS00Y2Q4LTlhNmYtODlhY2QxYzA1MDlhXkEyXkFqcGdeQXVyNjA5MDIyMzU@._V1_UX182_CR0,0,182,268_AL_.jpg",['Marielle Heller'],"['Micah Fitzerman-Blue', 'Noah Harpster']","[['Tom Hanks', 'https://m.media-amazon.com/images/M/MV5BMTQ2MjMwNDA3Nl5BMl5BanBnXkFtZTcwMTA2NDY3NQ@@._V1_UY317_CR2,0,214,317_AL_.jpg'], ['Matthew Rhys', 'https://m.media-amazon.com/images/M/MV5BMTMwOTc5MTI2OV5BMl5BanBnXkFtZTcwMjU0MDk4NA@@._V1_UY317_CR15,0,214,317_AL_.jpg'], ['Chris Cooper', 'https://m.media-amazon.com/images/M/MV5BMTg5NTgxMzgxNl5BMl5BanBnXkFtZTcwMTAyMjcxNA@@._V1_UY317_CR10,0,214,317_AL_.jpg']]","['Biography', 'Drama']",1h 49min,Based on the true story of a real-life friendship between Fred Rogers and journalist Lloyd Vogel.
Freaks (2018) ,"https://m.media-amazon.com/images/M/MV5BZDIzNDk0YWYtZjQwZC00NTljLWFiNDktYzRkNDc0MWY5NWQ5XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UX182_CR0,0,182,268_AL_.jpg","['Zach Lipovsky', 'Adam B. Stein']","['Zach Lipovsky', 'Adam B. Stein']","[['Emile Hirsch', 'https://m.media-amazon.com/images/M/MV5BZjM4OTg0NTMtN2NmNS00ZGVjLWFmNWEtZDZiY2Y1ZDFjYWYzXkEyXkFqcGdeQXVyNjk1MjYyNTA@._V1_UY317_CR16,0,214,317_AL_.jpg'], ['Bruce Dern', 'https://m.media-amazon.com/images/M/MV5BMTIzMDE0MzAzOV5BMl5BanBnXkFtZTYwODQxMDQ1._V1_UY317_CR3,0,214,317_AL_.jpg'], ['Grace Park', 'https://m.media-amazon.com/images/M/MV5BMTM1OTg1MjI0MF5BMl5BanBnXkFtZTcwODgyMjU5MQ@@._V1_UX214_CR0,0,214,317_AL_.jpg']]","['Drama', 'Mystery', 'Sci-Fi']",1h 45min,"A bold girl discovers a bizarre, threatening, and mysterious new world beyond her front door after she escapes her father's protective and paranoid control."
Thappad (2020) ,"https://m.media-amazon.com/images/M/MV5BNWQ1Yzc2NDYtN2RjNC00ZGIyLWJkMjItMDlkODVhNjg0OTczXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_UX182_CR0,0,182,268_AL_.jpg",['Anubhav Sinha'],['Mrunmayee Lagoo'],"[['Taapsee Pannu', 'https://m.media-amazon.com/images/M/MV5BOTIwYTM2ODItMWRjMC00OGY3LWI2ZDAtMjE4N2I3ZjU3NDUyXkEyXkFqcGdeQXVyNjgyOTU0ODU@._V1_UX214_CR0,0,214,317_AL_.jpg'], ['Pavail Gulati', 'https://m.media-amazon.com/images/M/MV5BMmMxOWFjNTMtMDU3Ni00MDVkLWJkOGMtNzU3Yzk4MTFkNGUwXkEyXkFqcGdeQXVyODE5OTA4MDI@._V1_UX214_CR0,0,214,317_AL_.jpg'], ['Ratna Pathak Shah', 'https://m.media-amazon.com/images/M/MV5BMjQwMzc5NDQ0NF5BMl5BanBnXkFtZTgwNDg1ODA0OTE@._V1_UX214_CR0,0,214,317_AL_.jpg']]",['Drama'],2h 22min,Thappad is a story of Amrita whose seemingly perfect life is shattered when her husband slaps her once in a party. But is one slap enough to question what a relationship stands for?
The Shawshank Redemption (1994) ,"https://m.media-amazon.com/images/M/MV5BMDFkYTc0MGEtZmNhMC00ZDIzLWFmNTEtODM1ZmRlYWMwMWFmXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UX182_CR0,0,182,268_AL_.jpg",['Frank Darabont'],"['Stephen King', 'Frank Darabont']","[['Tim Robbins', 'https://m.media-amazon.com/images/M/MV5BMTI1OTYxNzAxOF5BMl5BanBnXkFtZTYwNTE5ODI4._V1_UY317_CR16,0,214,317_AL_.jpg'], ['Morgan Freeman', 'https://m.media-amazon.com/images/M/MV5BMTc0MDMyMzI2OF5BMl5BanBnXkFtZTcwMzM2OTk1MQ@@._V1_UX214_CR0,0,214,317_AL_.jpg'], ['Bob Gunton', 'https://m.media-amazon.com/images/M/MV5BMTc3MzY0MTQzM15BMl5BanBnXkFtZTcwMTM0ODYxNw@@._V1_UY317_CR91,0,214,317_AL_.jpg']]",['Drama'],2h 22min,"Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency."
Hustlers (2019) ,"https://m.media-amazon.com/images/M/MV5BNjM5ZTNiNGMtMDA2OC00MDYyLWEyNzAtOWZmMzFlY2VmOWM4XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UX182_CR0,0,182,268_AL_.jpg",['Lorene Scafaria'],"['Lorene Scafaria', 'Jessica Pressler']","[['Constance Wu', 'https://m.media-amazon.com/images/M/MV5BMjRhYTBlNmYtYTMzMi00YjIyLTllMWYtMDJkNGJjYmMzN2Q4XkEyXkFqcGdeQXVyNzU5OTk3OQ@@._V1_UX214_CR0,0,214,317_AL_.jpg'], ['Jennifer Lopez', 'https://m.media-amazon.com/images/M/MV5BMTY0OTY3ODA3OV5BMl5BanBnXkFtZTcwMzMyMzQ1NQ@@._V1_UY317_CR32,0,214,317_AL_.jpg'], ['Julia Stiles', 'https://m.media-amazon.com/images/M/MV5BMTgxNjUxNDk3MF5BMl5BanBnXkFtZTcwMzM0NjA0NA@@._V1_UX214_CR0,0,214,317_AL_.jpg']]","['Comedy', 'Crime', 'Drama']",1h 50min,"Inspired by the viral New York Magazine article, Hustlers follows a crew of savvy former strip club employees who band together to turn the tables on their Wall Street clients."
Blade Runner 2049 (2017) ,"https://m.media-amazon.com/images/M/MV5BNzA1Njg4NzYxOV5BMl5BanBnXkFtZTgwODk5NjU3MzI@._V1_UX182_CR0,0,182,268_AL_.jpg",['Denis Villeneuve'],"['Hampton Fancher', 'Michael Green']","[['Harrison Ford', 'https://m.media-amazon.com/images/M/MV5BMTY4Mjg0NjIxOV5BMl5BanBnXkFtZTcwMTM2NTI3MQ@@._V1_UX214_CR0,0,214,317_AL_.jpg'], ['Ryan Gosling', 'https://m.media-amazon.com/images/M/MV5BMTQzMjkwNTQ2OF5BMl5BanBnXkFtZTgwNTQ4MTQ4MTE@._V1_UY317_CR18,0,214,317_AL_.jpg'], ['Ana de Armas', 'https://m.media-amazon.com/images/M/MV5BMjA3NjYzMzE1MV5BMl5BanBnXkFtZTgwNTA4NDY4OTE@._V1_UX214_CR0,0,214,317_AL_.jpg']]","['Action', 'Drama', 'Mystery']",2h 44min,"Young Blade Runner ""K""'s (Ryan Gosling's) discovery of a long-buried secret leads him to track down former Blade Runner Rick Deckard (Harrison Ford), who's been missing for thirty years."
Marriage Story (2019) ,"https://m.media-amazon.com/images/M/MV5BZGVmY2RjNDgtMTc3Yy00YmY0LTgwODItYzBjNWJhNTRlYjdkXkEyXkFqcGdeQXVyMjM4NTM5NDY@._V1_UX182_CR0,0,182,268_AL_.jpg",['Noah Baumbach'],['Noah Baumbach'],"[['Adam Driver', 'https://m.media-amazon.com/images/M/MV5BOWViYjUzOWMtMzRkZi00MjNkLTk4M2ItMTVkMDg5MzE2ZDYyXkEyXkFqcGdeQXVyODQwNjM3NDA@._V1_UY317_CR44,0,214,317_AL_.jpg'], ['Scarlett Johansson', 'https://m.media-amazon.com/images/M/MV5BMTM3OTUwMDYwNl5BMl5BanBnXkFtZTcwNTUyNzc3Nw@@._V1_UY317_CR23,0,214,317_AL_.jpg'], ['Alan Alda', 'https://m.media-amazon.com/images/M/MV5BMTE5NDM1NjkyMV5BMl5BanBnXkFtZTYwNDA3NjQz._V1_UY317_CR8,0,214,317_AL_.jpg']]","['Comedy', 'Drama', 'Romance']",2h 17min,Noah Baumbach's incisive and compassionate look at a marriage breaking up and a family staying together.
Dolittle (2020) ,"https://m.media-amazon.com/images/M/MV5BMDNkODA5ZGQtODczOS00OTQxLThhMTItMjk0ZmNhMDM0YjNmXkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_UX182_CR0,0,182,268_AL_.jpg",['Stephen Gaghan'],"['Stephen Gaghan', 'Dan Gregor']","[['Robert Downey Jr.', 'https://m.media-amazon.com/images/M/MV5BNzg1MTUyNDYxOF5BMl5BanBnXkFtZTgwNTQ4MTE2MjE@._V1_UX214_CR0,0,214,317_AL_.jpg'], ['Antonio Banderas', 'https://m.media-amazon.com/images/M/MV5BMTUyOTQ3NTYyNF5BMl5BanBnXkFtZTcwMTY2NjIzNQ@@._V1_UX214_CR0,0,214,317_AL_.jpg'], ['Michael Sheen', 'https://m.media-amazon.com/images/M/MV5BMTg0MjI4NjY2M15BMl5BanBnXkFtZTcwOTgwNjQzMg@@._V1_UX214_CR0,0,214,317_AL_.jpg']]","['Adventure', 'Comedy', 'Family']",1h 41min,A physician who can talk to animals embarks on an adventure to find a legendary island with a young apprentice and a crew of strange pets.
Black Widow (2020) ,"https://m.media-amazon.com/images/M/MV5BZGRlNTY3NGYtM2YzZS00N2YyLTg0ZDYtNmY2ZDg2NDM3N2JlXkEyXkFqcGdeQXVyNTI4MzE4MDU@._V1_UX182_CR0,0,182,268_AL_.jpg",['Cate Shortland'],"['Jac Schaeffer', 'Ned Benson']","[['Florence Pugh', 'https://m.media-amazon.com/images/M/MV5BNTk4YWEwOGEtMDBhZS00OTc0LThjZGQtMjU4YjZhM2Q1YjdlXkEyXkFqcGdeQXVyNTQ1OTQ0OTA@._V1_UY317_CR3,0,214,317_AL_.jpg'], ['Scarlett Johansson', 'https://m.media-amazon.com/images/M/MV5BMTM3OTUwMDYwNl5BMl5BanBnXkFtZTcwNTUyNzc3Nw@@._V1_UY317_CR23,0,214,317_AL_.jpg'], ['Rachel Weisz', 'https://m.media-amazon.com/images/M/MV5BMTQ4MzM1MDAwMV5BMl5BanBnXkFtZTcwNTU4NzQwMw@@._V1_UY317_CR4,0,214,317_AL_.jpg']]","['Action', 'Adventure', 'Sci-Fi']",---,A film about Natasha Romanoff in her quests between the films Civil War and Infinity War.
